cell_id,city,city_code,type,context,W,sinuosity,qp,vbar,base_pass,dens_base,fr_base,qr_star,above_upper
AMS-amsterdam-chain-7530-50,amsterdam,AMS,C,residential,1.529,1.0,8,1.318,True,0.067,0.996,0.0,False
AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,1.0001,11,0.067,False,2.157,1.0,0.0,False
AMS-amsterdam-chain-66173-0,amsterdam,AMS,C,residential,1.208,1.0,14,1.217,True,0.161,1.007,0.0,False
AMS-amsterdam-chain-15655-200,amsterdam,AMS,C,residential,1.319,1.0,16,1.241,True,0.165,1.001,0.0,False
AMS-amsterdam-chain-32674-0,amsterdam,AMS,C,residential,1.323,1.274,16,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-32447-100,amsterdam,AMS,C,residential,1.352,1.044,16,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-7530-50,amsterdam,AMS,C,residential,1.529,1.0,18,1.271,True,0.157,1.002,0.0,False
MEL-melbourne-1389612-0-2,melbourne,MEL,A,residential,1.697,1.0,8,1.319,True,0.06,0.996,10.0,False
MEL-melbourne-1465622-0-2,melbourne,MEL,A,residential,1.749,1.0,9,1.322,True,0.066,1.0,12.0,False
MEL-melbourne-1477330-0-0,melbourne,MEL,A,residential,1.83,1.0,9,1.32,True,0.063,0.999,15.0,False
MEL-melbourne-RPSP02B11034-0-0,melbourne,MEL,A,residential,1.844,1.0,9,1.315,True,0.063,1.001,15.0,False
MEL-melbourne-1434605-0-0,melbourne,MEL,A,residential,2.156,1.0,11,1.32,True,0.065,1.004,18.0,False
MEL-melbourne-1465759-0-1,melbourne,MEL,A,residential,2.348,1.0,12,1.321,True,0.065,1.001,20.0,True
MEL-melbourne-1389823-0-3,melbourne,MEL,A,residential,2.722,1.0,14,1.327,True,0.065,1.008,20.0,True
MEL-melbourne-RPSP07A11127-0-0,melbourne,MEL,A,residential,3.121,1.0,16,1.324,True,0.065,1.001,20.0,True
MEL-melbourne-RPSP03A11034L1-0-0,melbourne,MEL,A,residential,3.194,1.0,16,1.323,True,0.063,1.0,20.0,True
MEL-melbourne-1389612-0-2,melbourne,MEL,A,residential,1.697,1.0,20,1.249,True,0.16,1.003,6.0,False
MEL-melbourne-1465622-0-2,melbourne,MEL,A,residential,1.749,1.0,21,1.253,True,0.162,1.002,8.0,False
MEL-melbourne-1477330-0-0,melbourne,MEL,A,residential,1.83,1.0,22,1.239,True,0.164,0.998,8.0,False
MEL-melbourne-RPSP02B11034-0-0,melbourne,MEL,A,residential,1.844,1.0,22,1.235,True,0.163,0.999,6.0,False
MEL-melbourne-1434605-0-0,melbourne,MEL,A,residential,2.156,1.0,26,1.25,True,0.162,1.003,12.0,False
MEL-melbourne-1515142-0-0,melbourne,MEL,A,residential,5.175,1.0,26,1.294,True,0.065,1.004,20.0,True
MEL-melbourne-1465759-0-1,melbourne,MEL,A,residential,2.348,1.0,28,1.263,True,0.158,0.996,12.0,False
MEL-melbourne-1389823-0-3,melbourne,MEL,A,residential,2.722,1.0,33,1.258,True,0.161,1.003,15.0,False
MEL-melbourne-RPSP07A11127-0-0,melbourne,MEL,A,residential,3.121,1.0,38,1.248,True,0.163,1.003,15.0,False
MEL-melbourne-RPSP03A11034L1-0-0,melbourne,MEL,A,residential,3.194,1.0,38,1.248,True,0.159,1.002,15.0,False
MEL-melbourne-RPSP0814955L1-0-0,melbourne,MEL,A,commercial,3.499,1.0,52,1.199,True,0.207,1.002,12.0,False
MEL-melbourne-RPSP03A10530L1-0-0,melbourne,MEL,A,commercial,3.609,1.0,54,1.196,True,0.209,1.006,10.0,False
MEL-melbourne-1515142-0-0,melbourne,MEL,A,residential,5.175,1.0,62,1.164,True,0.172,1.001,10.0,False
MEL-melbourne-1385230-0-1,melbourne,MEL,A,MRT-frontage,2.271,1.0,68,1.084,True,0.464,1.006,0.0,False
MEL-melbourne-RPSP0814955L1-0-0,melbourne,MEL,A,commercial,3.499,1.0,88,0.97,True,0.431,0.985,4.0,False
MEL-melbourne-RPSP03A10530L1-0-0,melbourne,MEL,A,commercial,3.609,1.0,90,0.974,True,0.427,0.986,4.0,False
MEL-melbourne-1385230-0-1,melbourne,MEL,A,MRT-frontage,2.271,1.0,102,0.037,False,3.028,1.0,0.0,False
MEL-melbourne-RPSP1011231-0-5,melbourne,MEL,C,residential,0.209,1.0,1,0.0,True,0.0,1.0,0.0,False
MEL-melbourne-RPSP1011231-0-5,melbourne,MEL,C,residential,0.209,1.0,2,0.0,True,0.0,1.0,0.0,False
MEL-melbourne-idx7418-0-6,melbourne,MEL,C,residential,0.603,1.0,3,0.083,True,0.947,1.0,20.0,True
MEL-melbourne-RPSP03A13291L1-0-0,melbourne,MEL,C,commercial,0.305,1.0,5,0.0,True,0.0,1.0,0.0,False
MEL-melbourne-idx7418-0-6,melbourne,MEL,C,residential,0.603,1.0,7,0.05,False,2.074,1.0,0.0,False
MEL-melbourne-RPSP03A10434L1-0-0,melbourne,MEL,C,residential,1.33,1.0,7,1.293,True,0.068,1.0,0.0,False
MEL-melbourne-RPSP03A13291L1-0-0,melbourne,MEL,C,commercial,0.305,1.0,8,0.0,True,0.0,1.0,0.0,False
MEL-melbourne-RPSP0813599L1-0-0,melbourne,MEL,C,commercial,0.617,1.0,9,0.036,False,2.458,1.0,0.0,False
MEL-melbourne-RPSP0813599L1-0-0,melbourne,MEL,C,commercial,0.617,1.0,15,0.013,False,3.057,1.0,0.0,False
MEL-melbourne-RPSP03A10434L1-0-0,melbourne,MEL,C,residential,1.33,1.0,16,1.248,True,0.163,1.005,0.0,False
MEL-melbourne-RPSP0813145L1-0-1,melbourne,MEL,C,commercial,1.271,1.0,19,1.197,True,0.212,1.0,0.0,False
MEL-melbourne-1385129-0-0,melbourne,MEL,C,commercial,1.344,1.0,20,1.239,True,0.203,1.002,0.0,False
MEL-melbourne-RPSP0813145L1-0-1,melbourne,MEL,C,commercial,1.271,1.0,32,1.089,True,0.392,1.001,0.0,False
MEL-melbourne-1385129-0-0,melbourne,MEL,C,commercial,1.344,1.0,34,1.128,True,0.38,1.0,0.0,False
NTP-newtaipei-idx13776-0-2,newtaipei,NTP,A,residential,1.71,1.0,9,1.321,True,0.067,1.002,10.0,False
NTP-newtaipei-idx7317-0-1,newtaipei,NTP,A,residential,1.74,1.0,9,1.312,True,0.067,1.002,12.0,False
NTP-newtaipei-idx6919-0-0,newtaipei,NTP,A,residential,1.74,1.0,9,1.316,True,0.066,1.0,12.0,False
NTP-newtaipei-idx11901-0-0,newtaipei,NTP,A,residential,1.78,1.0,9,1.317,True,0.065,1.001,12.0,False
NTP-newtaipei-idx13763-0-2,newtaipei,NTP,A,residential,1.8,1.0,9,1.318,True,0.064,1.0,12.0,False
NTP-newtaipei-idx9858-0-0,newtaipei,NTP,A,residential,1.91,1.0,10,1.313,True,0.067,1.008,12.0,False
NTP-newtaipei-idx5617-0-0,newtaipei,NTP,A,residential,2.33,1.0,12,1.322,True,0.065,1.001,20.0,True
NTP-newtaipei-idx251-0-0,newtaipei,NTP,A,residential,2.46,1.0,12,1.323,True,0.062,1.001,20.0,True
NTP-newtaipei-idx6820-0-0,newtaipei,NTP,A,residential,2.62,1.0,13,1.324,True,0.063,1.002,20.0,True
NTP-newtaipei-idx7804-0-0,newtaipei,NTP,A,residential,2.9,1.0,14,1.327,True,0.061,1.0,20.0,True
NTP-newtaipei-idx4423-0-0,newtaipei,NTP,A,residential,2.99,1.0,15,1.322,True,0.064,0.988,20.0,True
NTP-newtaipei-idx13776-0-2,newtaipei,NTP,A,residential,1.71,1.0,20,1.256,True,0.157,1.005,5.0,False
NTP-newtaipei-idx7317-0-1,newtaipei,NTP,A,residential,1.74,1.0,21,1.238,True,0.165,1.001,6.0,False
NTP-newtaipei-idx6919-0-0,newtaipei,NTP,A,residential,1.74,1.0,21,1.247,True,0.164,1.0,6.0,False
NTP-newtaipei-idx11901-0-0,newtaipei,NTP,A,residential,1.78,1.0,21,1.244,True,0.161,0.998,6.0,False
NTP-newtaipei-idx13763-0-2,newtaipei,NTP,A,residential,1.8,1.0,22,1.244,True,0.165,1.003,8.0,False
NTP-newtaipei-idx9858-0-0,newtaipei,NTP,A,residential,1.91,1.0,23,1.234,True,0.165,1.0,6.0,False
NTP-newtaipei-idx11808-0-1,newtaipei,NTP,A,residential,4.98,1.0,25,1.297,True,0.065,1.001,20.0,True
NTP-newtaipei-idx5617-0-0,newtaipei,NTP,A,residential,2.33,1.0,28,1.26,True,0.16,0.999,12.0,False
NTP-newtaipei-idx251-0-0,newtaipei,NTP,A,residential,2.46,1.0,30,1.26,True,0.162,0.997,15.0,False
NTP-newtaipei-idx6820-0-0,newtaipei,NTP,A,residential,2.62,1.0,31,1.268,True,0.156,1.006,18.0,False
NTP-newtaipei-idx11355-0-2,newtaipei,NTP,A,residential,6.11,1.0,31,1.271,True,0.067,1.003,20.0,True
NTP-newtaipei-idx7804-0-0,newtaipei,NTP,A,residential,2.9,1.0,35,1.255,True,0.161,0.997,15.0,False
NTP-newtaipei-idx4423-0-0,newtaipei,NTP,A,residential,2.99,1.0,36,1.253,True,0.161,1.001,15.0,False
NTP-newtaipei-idx11808-0-1,newtaipei,NTP,A,residential,4.98,1.0,60,1.17,True,0.172,0.998,12.0,False
NTP-newtaipei-idx11355-0-2,newtaipei,NTP,A,residential,6.11,1.0,73,1.09,True,0.183,1.001,10.0,False
NTP-newtaipei-idx12919-0-1,newtaipei,NTP,C,residential,1.12,1.0,6,1.262,True,0.072,0.985,0.0,False
