combo_id,cell_id,city,city_code,type,context,W,L,qp,x,sinuosity,vbar,base_pass,qr_star_mean,above_upper,qr_star_per_seed,qr_star,pass_frac_at_star,pass_frac_at_next
DC-095|qp45.7,SEA-seattle-5439807-0-1,seattle,SEA,C,residential,1.524,50.0,45.7,29.987,1.0,1.003,1,0.0,0,0.0,0.0,,0.0
DC-098|qp49.5,SEA-seattle-5432169-0-1,seattle,SEA,A,residential,1.651,50.0,49.5,29.982,1.0,0.898,1,0.0,0,0.0,0.0,,0.433
DC-100|qp58.5,SEA-seattle-5434873-0-0,seattle,SEA,A,commercial,2.438,50.0,58.5,23.995,1.0,1.164,1,4.0,0,3.0,3.0,0.767,0.567
DC-101|qp73.1,SEA-seattle-5434873-0-0,seattle,SEA,A,commercial,2.438,50.0,73.1,29.984,1.0,1.087,1,0.0,0,0.0,0.0,,0.3
DC-102|qp73.2,SEA-seattle-5445989-0-0,seattle,SEA,A,commercial,4.064,50.0,73.2,18.012,1.0,1.097,1,8.0,0,3.0,3.0,0.567,0.467
DC-103|qp97.5,SEA-seattle-5445989-0-0,seattle,SEA,A,commercial,4.064,50.0,97.5,23.991,1.0,0.972,1,6.0,0,2.0,2.0,0.767,0.267
DC-104|qp121.9,SEA-seattle-5445989-0-0,seattle,SEA,A,commercial,4.064,50.0,121.9,29.995,1.0,0.858,1,1.0,0,0.0,0.0,0.767,0.467
DC-054|qp21.4,TPE-taipei-idx9524-0-2,taipei,TPE,C,residential,1.19,50.0,21.4,17.983,1.0,1.14,1,0.0,0,0.0,0.0,,0.0
DC-057|qp21.6,TPE-taipei-idx5150-0-0,taipei,TPE,C,commercial,1.2,50.0,21.6,18.0,1.0,1.136,1,0.0,0,0.0,0.0,,0.0
DC-055|qp28.6,TPE-taipei-idx9524-0-2,taipei,TPE,C,residential,1.19,50.0,28.6,24.034,1.0,1.068,1,0.0,0,0.0,0.0,,0.0
DC-058|qp28.8,TPE-taipei-idx5150-0-0,taipei,TPE,C,commercial,1.2,50.0,28.8,24.0,1.0,1.072,1,0.0,0,0.0,0.0,,0.0
DC-060|qp31.5,TPE-taipei-idx12521-0-5,taipei,TPE,A,residential,1.75,50.0,31.5,18.0,1.0,1.153,1,4.0,0,2.0,2.0,0.867,0.467
DC-063|qp35.3,TPE-taipei-idx1592-0-2,taipei,TPE,A,residential,1.96,50.0,35.3,18.01,1.0,1.133,1,3.0,0,3.0,3.0,0.967,0.867
DC-056|qp35.7,TPE-taipei-idx9524-0-2,taipei,TPE,C,residential,1.19,50.0,35.7,30.0,1.0,0.993,1,0.0,0,0.0,0.0,,0.0
DC-059|qp36.0,TPE-taipei-idx5150-0-0,taipei,TPE,C,commercial,1.2,50.0,36.0,30.0,1.0,0.997,1,0.0,0,0.0,0.0,,0.0
DC-061|qp42.0,TPE-taipei-idx12521-0-5,taipei,TPE,A,residential,1.75,50.0,42.0,24.0,1.0,1.05,1,1.0,0,0.0,0.0,0.8,0.533
DC-066|qp44.6,TPE-taipei-idx15608-0-1,taipei,TPE,A,commercial,2.48,50.0,44.6,17.984,1.0,1.208,1,10.0,0,8.0,8.0,0.933,0.6
DC-064|qp47.0,TPE-taipei-idx1592-0-2,taipei,TPE,A,residential,1.96,50.0,47.0,23.98,1.0,1.039,1,1.0,0,0.0,0.0,0.767,0.433
DC-062|qp52.5,TPE-taipei-idx12521-0-5,taipei,TPE,A,residential,1.75,50.0,52.5,30.0,1.0,0.867,1,0.0,0,0.0,0.0,,0.3
DC-065|qp58.8,TPE-taipei-idx1592-0-2,taipei,TPE,A,residential,1.96,50.0,58.8,30.0,1.0,0.9,1,0.0,0,0.0,0.0,,0.067
DC-067|qp59.5,TPE-taipei-idx15608-0-1,taipei,TPE,A,commercial,2.48,50.0,59.5,23.992,1.0,1.163,1,3.0,0,2.0,2.0,0.9,0.667
DC-069|qp63.7,TPE-taipei-idx4344-0-0,taipei,TPE,A,residential,3.54,50.0,63.7,17.994,1.0,1.156,1,8.0,0,6.0,6.0,0.633,0.233
DC-068|qp74.4,TPE-taipei-idx15608-0-1,taipei,TPE,A,commercial,2.48,50.0,74.4,30.0,1.0,1.075,1,0.0,0,0.0,0.0,,0.367
DC-070|qp85.0,TPE-taipei-idx4344-0-0,taipei,TPE,A,residential,3.54,50.0,85.0,24.011,1.0,0.982,1,6.0,0,4.0,4.0,0.833,0.333
DC-071|qp106.2,TPE-taipei-idx4344-0-0,taipei,TPE,A,residential,3.54,50.0,106.2,30.0,1.0,0.887,1,0.0,0,0.0,0.0,,0.733
DC-105|qp7.7,TAO-taoyuan-idx8762-0-0,taoyuan,TAO,C,residential,0.43,50.0,7.7,17.907,1.0,0.0,1,0.0,0,0.0,0.0,,0.0
DC-108|qp9.2,TAO-taoyuan-idx2361-0-3,taoyuan,TAO,C,residential,0.51,50.0,9.2,18.039,1.0,0.0,1,0.0,0,0.0,0.0,,0.0
DC-106|qp10.3,TAO-taoyuan-idx8762-0-0,taoyuan,TAO,C,residential,0.43,50.0,10.3,23.953,1.0,0.0,1,0.0,0,0.0,0.0,,0.0
