combo_id,cell_id,city,city_code,type,context,W,L,qp,x,sinuosity,ood_flags,vbar,base_pass,qr_star,above_upper
DC-075,NTP-newtaipei-idx3916-0-1,newtaipei,NTP,C,MRT-frontage,1.4,50.0,25.2,18.0,1.0,W<W_min,1.219,True,0.0,False
DC-073,NTP-newtaipei-idx12919-0-1,newtaipei,NTP,C,residential,1.12,50.0,26.9,24.018,1.0,W<W_min,0.9,True,0.0,False
DC-078,NTP-newtaipei-idx13776-0-2,newtaipei,NTP,A,residential,1.71,50.0,30.8,18.012,1.0,,1.157,True,3.0,False
DC-081,NTP-newtaipei-idx6919-0-0,newtaipei,NTP,A,residential,1.74,50.0,31.3,17.989,1.0,,1.163,True,3.0,False
DC-074,NTP-newtaipei-idx12919-0-1,newtaipei,NTP,C,residential,1.12,50.0,33.6,30.0,1.0,W<W_min,0.794,True,0.0,False
DC-076,NTP-newtaipei-idx3916-0-1,newtaipei,NTP,C,MRT-frontage,1.4,50.0,33.6,24.0,1.0,W<W_min,1.138,True,0.0,False
DC-079,NTP-newtaipei-idx13776-0-2,newtaipei,NTP,A,residential,1.71,50.0,41.0,23.977,1.0,,1.035,True,1.0,False
DC-082,NTP-newtaipei-idx6919-0-0,newtaipei,NTP,A,residential,1.74,50.0,41.8,24.023,1.0,,1.044,True,1.0,False
DC-077,NTP-newtaipei-idx3916-0-1,newtaipei,NTP,C,MRT-frontage,1.4,50.0,42.0,30.0,1.0,W<W_min,1.048,True,0.0,False
DC-084,NTP-newtaipei-idx251-0-0,newtaipei,NTP,A,residential,2.46,50.0,44.3,18.008,1.0,,1.204,True,10.0,False
DC-080,NTP-newtaipei-idx13776-0-2,newtaipei,NTP,A,residential,1.71,50.0,51.3,30.0,1.0,,0.771,True,0.0,False
DC-083,NTP-newtaipei-idx6919-0-0,newtaipei,NTP,A,residential,1.74,50.0,52.2,30.0,1.0,,0.877,True,0.0,False
DC-085,NTP-newtaipei-idx251-0-0,newtaipei,NTP,A,residential,2.46,50.0,59.0,23.984,1.0,,1.157,True,4.0,False
DC-086,NTP-newtaipei-idx251-0-0,newtaipei,NTP,A,residential,2.46,50.0,73.8,30.0,1.0,qp>60,1.077,True,0.0,False
DC-087,NTP-newtaipei-idx11808-0-1,newtaipei,NTP,A,residential,4.98,50.0,89.6,17.992,1.0,qp>60,0.982,True,15.0,False
