combo_id,cell_id,city,split,type,context,W,L,qp,x,ood_flags
DC-072,NTP-newtaipei-idx12919-0-1,newtaipei,train,C,residential,1.12,50.0,20.2,18.0,W<W_min
DC-073,NTP-newtaipei-idx12919-0-1,newtaipei,train,C,residential,1.12,50.0,26.9,24.0,W<W_min
DC-074,NTP-newtaipei-idx12919-0-1,newtaipei,train,C,residential,1.12,50.0,33.6,30.0,W<W_min
DC-075,NTP-newtaipei-idx3916-0-1,newtaipei,train,C,MRT-frontage,1.4,50.0,25.2,18.0,W<W_min
DC-076,NTP-newtaipei-idx3916-0-1,newtaipei,train,C,MRT-frontage,1.4,50.0,33.6,24.0,W<W_min
DC-077,NTP-newtaipei-idx3916-0-1,newtaipei,train,C,MRT-frontage,1.4,50.0,42.0,30.0,W<W_min
DC-078,NTP-newtaipei-idx13776-0-2,newtaipei,train,A,residential,1.71,50.0,30.8,18.0,
DC-079,NTP-newtaipei-idx13776-0-2,newtaipei,train,A,residential,1.71,50.0,41.0,24.0,
DC-080,NTP-newtaipei-idx13776-0-2,newtaipei,train,A,residential,1.71,50.0,51.3,30.0,
DC-081,NTP-newtaipei-idx6919-0-0,newtaipei,train,A,residential,1.74,50.0,31.3,18.0,
DC-082,NTP-newtaipei-idx6919-0-0,newtaipei,train,A,residential,1.74,50.0,41.8,24.0,
DC-083,NTP-newtaipei-idx6919-0-0,newtaipei,train,A,residential,1.74,50.0,52.2,30.0,
DC-084,NTP-newtaipei-idx251-0-0,newtaipei,train,A,residential,2.46,50.0,44.3,18.0,
DC-085,NTP-newtaipei-idx251-0-0,newtaipei,train,A,residential,2.46,50.0,59.0,24.0,
DC-086,NTP-newtaipei-idx251-0-0,newtaipei,train,A,residential,2.46,50.0,73.8,30.0,qp>60
DC-087,NTP-newtaipei-idx11808-0-1,newtaipei,train,A,residential,4.98,50.0,89.6,18.0,qp>60
DC-088,NTP-newtaipei-idx11808-0-1,newtaipei,train,A,residential,4.98,50.0,119.5,24.0,qp>60
DC-089,NTP-newtaipei-idx11808-0-1,newtaipei,train,A,residential,4.98,50.0,149.4,30.0,qp>60
DC-090,SEA-seattle-5441957-0-1,seattle,test,C,commercial,1.168,50.0,21.0,18.0,W<W_min
DC-091,SEA-seattle-5441957-0-1,seattle,test,C,commercial,1.168,50.0,28.0,24.0,W<W_min
DC-092,SEA-seattle-5441957-0-1,seattle,test,C,commercial,1.168,50.0,35.0,30.0,W<W_min
DC-093,SEA-seattle-5439807-0-1,seattle,test,C,residential,1.524,50.0,27.4,18.0,W<W_min
DC-094,SEA-seattle-5439807-0-1,seattle,test,C,residential,1.524,50.0,36.6,24.0,W<W_min
DC-095,SEA-seattle-5439807-0-1,seattle,test,C,residential,1.524,50.0,45.7,30.0,W<W_min
DC-096,SEA-seattle-5432169-0-1,seattle,test,A,residential,1.651,50.0,29.7,18.0,
DC-097,SEA-seattle-5432169-0-1,seattle,test,A,residential,1.651,50.0,39.6,24.0,
DC-098,SEA-seattle-5432169-0-1,seattle,test,A,residential,1.651,50.0,49.5,30.0,
DC-099,SEA-seattle-5434873-0-0,seattle,test,A,commercial,2.438,50.0,43.9,18.0,
DC-100,SEA-seattle-5434873-0-0,seattle,test,A,commercial,2.438,50.0,58.5,24.0,
DC-101,SEA-seattle-5434873-0-0,seattle,test,A,commercial,2.438,50.0,73.1,30.0,qp>60
DC-102,SEA-seattle-5445989-0-0,seattle,test,A,commercial,4.064,50.0,73.2,18.0,qp>60
DC-103,SEA-seattle-5445989-0-0,seattle,test,A,commercial,4.064,50.0,97.5,24.0,qp>60
DC-104,SEA-seattle-5445989-0-0,seattle,test,A,commercial,4.064,50.0,121.9,30.0,qp>60
DC-105,TAO-taoyuan-idx8762-0-0,taoyuan,test,C,residential,0.43,50.0,7.7,18.0,W<W_min
DC-106,TAO-taoyuan-idx8762-0-0,taoyuan,test,C,residential,0.43,50.0,10.3,24.0,W<W_min
DC-107,TAO-taoyuan-idx8762-0-0,taoyuan,test,C,residential,0.43,50.0,12.9,30.0,W<W_min
DC-108,TAO-taoyuan-idx2361-0-3,taoyuan,test,C,residential,0.51,50.0,9.2,18.0,W<W_min
DC-109,TAO-taoyuan-idx2361-0-3,taoyuan,test,C,residential,0.51,50.0,12.2,24.0,W<W_min
DC-110,TAO-taoyuan-idx2361-0-3,taoyuan,test,C,residential,0.51,50.0,15.3,30.0,W<W_min
DC-111,TAO-taoyuan-idx10181-0-0,taoyuan,test,A,residential,1.8,50.0,32.4,18.0,
DC-112,TAO-taoyuan-idx10181-0-0,taoyuan,test,A,residential,1.8,50.0,43.2,24.0,
DC-113,TAO-taoyuan-idx10181-0-0,taoyuan,test,A,residential,1.8,50.0,54.0,30.0,
DC-114,TAO-taoyuan-idx3410-0-9,taoyuan,test,A,residential,2.4,50.0,43.2,18.0,
DC-115,TAO-taoyuan-idx3410-0-9,taoyuan,test,A,residential,2.4,50.0,57.6,24.0,
DC-116,TAO-taoyuan-idx3410-0-9,taoyuan,test,A,residential,2.4,50.0,72.0,30.0,qp>60
DC-117,TAO-taoyuan-idx6656-0-0,taoyuan,test,A,commercial,5.0,50.0,90.0,18.0,qp>60
DC-118,TAO-taoyuan-idx6656-0-0,taoyuan,test,A,commercial,5.0,50.0,120.0,24.0,qp>60
DC-119,TAO-taoyuan-idx6656-0-0,taoyuan,test,A,commercial,5.0,50.0,150.0,30.0,qp>60
