way_id,highway,name,name_zh,n_nodes,length_m,max_turn_deg,wander_deg,cum_turn_deg,sinuosity,lat0,lon0,lat1,lon1,width_tag,width_m,n_barriers,n_crossings,junc_deg_max,junc_node,cell_type,type_a,type_b,type_c,type_d,splittable,evidence
644474897,service,,,2,33.9,0.0,0.0,0,1.0,1.322014,103.859218,1.322271,103.859382,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
644506727,residential,May Road,,3,105.7,0.5,0.3,0.5,1.0,1.321865,103.858397,1.322616,103.858981,,,0,0,3,0,A,0,0,0,0,1,splittable
644702492,service,,,2,6.1,0.0,0.0,0,1.0,1.31643,103.85998,1.316473,103.860015,,,0,0,3,0,D,0,0,0,1,0,"junc(deg=3,cross_end=0);short"
644824496,residential,Foch Road,,2,11.4,0.0,0.0,0,1.0,1.312347,103.860049,1.312269,103.859981,,,0,0,3,0,D,0,0,0,1,0,"junc(deg=3,cross_end=0);short"
644827103,service,,,3,15.2,26.7,19.5,26.7,1.022,1.326018,103.859807,1.325899,103.859869,,,0,0,2,0,B,0,1,0,0,0,"curve(cum=26.7,max=26.7,sin=1.022)"
644829784,residential,Kallang Junction,,3,56.3,0.0,0.0,0.0,1.0,1.313869,103.866181,1.313488,103.865847,,,0,1,4,0,D,1,0,0,1,0,"junc(deg=4,cross_end=0);in_band"
644830491,service,,,3,50.0,2.3,2.0,2.3,1.0,1.321533,103.8664,1.321785,103.866028,,,0,1,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
644847684,service,,,2,35.2,0.0,0.0,0,1.0,1.317597,103.86124,1.317346,103.861046,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
644857208,residential,Kallang Place,,2,79.3,0.0,0.0,0,1.0,1.317646,103.866298,1.317155,103.866816,,,0,0,4,0,A,0,0,0,0,1,splittable
644857836,residential,Kallang Place,,3,44.9,0.0,0.0,0.0,1.0,1.314228,103.866533,1.313938,103.866251,,,0,1,4,0,D,1,0,0,1,0,"junc(deg=4,cross_end=0);in_band"
644866742,residential,Saint George's Lane,,2,78.3,0.0,0.0,0,1.0,1.322327,103.861786,1.322901,103.862194,,,0,0,3,0,A,0,0,0,0,1,splittable
644866743,residential,Saint George's Lane,,2,27.5,0.0,0.0,0,1.0,1.321826,103.861414,1.32202,103.861568,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
644902802,service,,,4,22.3,33.6,44.9,65.7,1.116,1.326347,103.85884,1.326259,103.858683,,,0,0,3,0,B,0,1,0,1,0,"curve(cum=65.7,max=33.6,sin=1.116);junc(deg=3,cross_end=0)"
645171385,service,,,2,13.4,0.0,0.0,0,1.0,1.327584,103.860204,1.327491,103.860128,,,0,0,2,0,A,0,0,0,0,0,short
645282601,residential,Lorong Bakar Batu,,2,11.9,0.0,0.0,0,1.0,1.328277,103.87195,1.328341,103.871863,,,0,0,3,0,D,0,0,0,1,0,"junc(deg=3,cross_end=0);short"
645298578,service,,,3,68.2,20.5,19.5,20.5,1.003,1.323423,103.865735,1.322946,103.865351,,,0,0,4,0,other,0,0,0,0,0,mild_kink
645302297,residential,Kallang Place,,3,17.0,3.9,2.4,3.9,1.001,1.317155,103.866816,1.317042,103.866919,,,0,0,4,0,D,1,0,0,1,0,"junc(deg=4,cross_end=0);in_band"
645302688,residential,Kallang Place,,3,75.0,9.2,5.8,9.2,1.003,1.317042,103.866919,1.316485,103.867295,,,0,0,3,0,A,0,0,0,0,1,splittable
645303286,residential,Kallang Place,,3,66.1,7.2,4.4,7.2,1.002,1.316485,103.867295,1.315951,103.867554,,,0,0,3,0,A,0,0,0,0,1,splittable
645303322,residential,Saint Michael's Road,,2,4.2,0.0,0.0,0,1.0,1.326715,103.862792,1.326696,103.862825,,,0,0,3,0,D,0,0,0,1,0,"junc(deg=3,cross_end=0);short"
645303664,residential,Kallang Place,,4,20.8,14.7,19.7,28.0,1.019,1.315152,103.867895,1.315021,103.867767,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
645303665,residential,Kallang Place,,2,28.9,0.0,0.0,0,1.0,1.315951,103.867554,1.315716,103.867665,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
645311449,residential,Kallang Place,,2,53.9,0.0,0.0,0,1.0,1.315021,103.867767,1.31482,103.867326,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
645324697,residential,Kallang Junction,,2,20.2,0.0,0.0,0,1.0,1.313488,103.865847,1.313354,103.865724,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
645344151,residential,May Road,,3,77.4,0.0,0.0,0.0,1.0,1.321325,103.857959,1.321865,103.858397,,,0,1,3,0,A,0,0,0,0,1,splittable
645362216,service,,,2,61.0,0.0,0.0,0,1.0,1.322277,103.871028,1.32181,103.871315,,,0,0,3,0,A,0,0,0,0,1,splittable
645382342,service,,,3,74.0,9.9,9.5,9.9,1.001,1.323639,103.865515,1.324151,103.865939,,,0,0,3,0,A,0,0,0,0,1,splittable
646141165,residential,Kallang Junction,,2,43.8,0.0,0.0,0,1.0,1.313116,103.865505,1.312823,103.865241,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
646200518,service,,,2,37.7,0.0,0.0,0,1.0,1.319492,103.860539,1.319227,103.860327,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
646353019,service,,,5,51.4,22.2,38.7,40.7,1.01,1.315905,103.860986,1.316198,103.860634,,,0,0,3,0,B,0,1,0,1,0,"curve(cum=40.7,max=22.2,sin=1.01);junc(deg=3,cross_end=0)"
646353021,service,,,2,25.8,0.0,0.0,0,1.0,1.316107,103.860369,1.316289,103.860514,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
646446272,residential,Kallang Bahru,,7,85.2,48.3,45.2,90.7,1.296,1.317838,103.866104,1.318421,103.866009,,,0,0,3,0,B,0,1,0,0,0,"curve(cum=90.7,max=48.3,sin=1.296)"
646634459,residential,Lorong Bakar Batu,,2,12.4,0.0,0.0,0,1.0,1.328202,103.872032,1.328277,103.87195,,,0,0,3,0,D,0,0,0,1,0,"junc(deg=3,cross_end=0);short"
646705838,residential,Kallang Avenue,,2,31.6,0.0,0.0,0,1.0,1.312214,103.866651,1.312373,103.866416,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
646859527,residential,Lorong Bakar Batu,,2,28.9,0.0,0.0,0,1.0,1.328031,103.872229,1.328202,103.872032,,,0,0,4,0,D,1,0,0,1,0,"junc(deg=4,cross_end=0);in_band"
646879729,service,,,16,73.7,23.1,140.8,204.3,1.856,1.322566,103.865705,1.322588,103.866062,,,0,0,2,0,B,0,1,0,0,0,"curve(cum=204.3,max=23.1,sin=1.856)"
647086256,residential,Kwong Avenue,,4,55.4,12.6,16.6,21.0,1.009,1.330499,103.871023,1.330018,103.87113,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
651227571,cycleway,,,4,35.0,0.0,0.0,0.1,1.0,1.311652,103.871987,1.311801,103.872264,,,0,2,5,0,D,1,0,0,1,0,"junc(deg=5,cross_end=0);in_band"
651227572,footway,,,3,19.4,10.2,9.2,10.2,1.001,1.311503,103.871595,1.311353,103.871683,,,0,0,1,0,A,1,0,0,0,0,in_band
652010398,residential,Opal Crescent,,2,22.2,0.0,0.0,0,1.0,1.327622,103.866277,1.327474,103.866143,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
652139043,residential,Beatty Road,,3,26.1,0.1,0.1,0.1,1.0,1.313868,103.858609,1.313714,103.858787,,,0,0,2,0,A,1,0,0,0,0,in_band
652141914,residential,Beatty Road,,2,21.3,0.0,0.0,0,1.0,1.313563,103.858961,1.313716,103.859076,,,0,0,4,0,D,1,0,0,1,0,"junc(deg=4,cross_end=0);in_band"
652141934,residential,Beatty Road,,2,39.0,0.0,0.0,0,1.0,1.314335,103.859571,1.31461,103.859789,,,0,0,4,0,D,1,0,0,1,0,"junc(deg=4,cross_end=0);in_band"
655133916,secondary,Geylang Bahru,,2,22.4,0.0,0.0,0,1.0,1.322994,103.870151,1.322823,103.870257,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
655133918,secondary,Geylang Bahru,,3,64.2,0.3,0.2,0.3,1.0,1.322823,103.870257,1.322333,103.870562,,,0,1,2,1,A,0,0,0,0,1,splittable
655137480,primary_link,Whampoa South,é»ååè·¯,4,40.4,8.4,5.5,14.7,1.002,1.32353,103.867001,1.323172,103.866937,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
655137481,primary_link,Whampoa South,é»ååè·¯,5,30.2,6.4,7.6,15.3,1.003,1.324811,103.866657,1.32459,103.866813,,,0,0,3,0,D,1,0,0,1,0,"junc(deg=3,cross_end=0);in_band"
655137482,primary_link,Whampoa South,é»ååè·¯,10,122.4,9.9,25.7,41.2,1.022,1.32459,103.866813,1.32353,103.867001,,,0,1,3,0,A,0,0,0,0,1,splittable
655141769,residential,Moonstone Lane,,6,94.9,7.2,6.4,11.4,1.003,1.328159,103.865342,1.327622,103.866002,,,0,0,4,0,A,0,0,0,0,1,splittable
655168786,primary,Whampoa East,é»åä¸è·¯,2,11.5,0.0,0.0,0,1.0,1.321247,103.864353,1.321305,103.864267,,,0,1,3,1,D,0,0,0,1,0,"junc(deg=3,cross_end=1);short"
