W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
2.4,50.0,20.0,8.0,8,1.112,0.3,0.9267454307794596,15728,0.1365277777777772,74,46,0.6216216216216216
2.4,50.0,20.0,10.0,4,1.112,0.3,0.8913302851452664,15130,0.1313368055555544,65,51,0.7846153846153846
2.4,50.0,20.0,0.0,0,1.39,0.3,1.1585672679773495,14087,0.12228298611111,84,84,1.0
2.4,50.0,20.0,0.0,16,1.39,0.3,1.157031842026251,14808,0.1285416666666679,81,83,1.0246913580246917
2.4,50.0,20.0,1.0,12,1.39,0.3,1.0186162947084012,17831,0.1547829861111107,85,82,0.9647058823529412
2.4,50.0,20.0,2.0,8,1.39,0.3,0.9936528003575612,15428,0.1339236111111094,81,63,0.7777777777777778
2.4,50.0,20.0,3.0,4,1.39,0.3,1.159907613657851,12124,0.1052430555555552,70,69,0.9857142857142858
2.4,50.0,20.0,4.0,0,1.39,0.3,1.0957135286946589,16006,0.138940972222222,87,85,0.9770114942528736
2.4,50.0,20.0,4.0,16,1.39,0.3,0.9692509495805516,17966,0.1559548611111123,86,76,0.8837209302325582
2.4,50.0,20.0,5.0,12,1.39,0.3,0.8401786436192075,22461,0.1949739583333337,85,78,0.9176470588235294
2.4,50.0,20.0,6.0,8,1.39,0.3,1.1197441652123157,12887,0.1118663194444452,83,57,0.6867469879518072
2.4,50.0,20.0,8.0,4,1.39,0.3,0.6991046730109782,21674,0.1881423611111111,68,40,0.5882352941176471
2.4,50.0,20.0,10.0,0,1.39,0.3,0.971506182960924,11642,0.1010590277777776,77,31,0.4025974025974026
2.4,50.0,20.0,10.0,16,1.39,0.3,1.0341625410627913,14355,0.124609375,85,45,0.5294117647058824
2.4,50.0,20.0,0.0,12,1.668,0.3,1.119638677486845,14367,0.1247135416666658,79,85,1.0759493670886076
2.4,50.0,20.0,1.0,8,1.668,0.3,1.1783702516701042,13585,0.1179253472222221,77,78,1.0129870129870129
2.4,50.0,20.0,2.0,4,1.668,0.3,1.1643858112139742,13166,0.1142881944444445,77,72,0.935064935064935
2.4,50.0,20.0,3.0,0,1.668,0.3,1.1399103534831363,15334,0.133107638888889,86,82,0.9534883720930232
2.4,50.0,20.0,3.0,16,1.668,0.3,1.1321307280560866,15302,0.1328298611111112,88,81,0.9204545454545454
2.4,50.0,20.0,4.0,12,1.668,0.3,1.0174289829251426,15054,0.1306770833333338,78,60,0.7692307692307693
2.4,50.0,20.0,5.0,8,1.668,0.3,1.0036940348937324,17521,0.152092013888888,84,78,0.9285714285714286
2.4,50.0,20.0,6.0,4,1.668,0.3,1.2292367968543825,7820,0.0678819444444441,64,26,0.40625
2.4,50.0,20.0,8.0,0,1.668,0.3,0.8642141795083322,15362,0.1333506944444444,80,31,0.3875
2.4,50.0,20.0,8.0,16,1.668,0.3,0.5289120067856938,34215,0.2970052083333354,93,51,0.5483870967741935
2.4,50.0,20.0,10.0,12,1.668,0.3,1.0966680998088598,10277,0.0892100694444446,83,19,0.2289156626506024
1.8,50.0,20.0,0.0,1,1.112,0.3,1.035481609654259,14681,0.1699189814814818,74,69,0.9324324324324323
1.8,50.0,20.0,0.0,17,1.112,0.3,0.9972855043731524,17356,0.2008796296296288,80,89,1.1125
1.8,50.0,20.0,1.0,13,1.112,0.3,0.9857361947359368,15827,0.1831828703703752,74,74,1.0
1.8,50.0,20.0,2.0,9,1.112,0.3,0.9543197109842864,14856,0.1719444444444403,81,38,0.4691358024691358
1.8,50.0,20.0,3.0,5,1.112,0.3,0.6250213271251588,28246,0.326921296296294,71,59,0.8309859154929577
1.8,50.0,20.0,4.0,1,1.112,0.3,0.8178146740698392,20216,0.2339814814814823,83,48,0.5783132530120482
1.8,50.0,20.0,4.0,17,1.112,0.3,0.6343866132475708,45520,0.5268518518518469,75,49,0.6533333333333333
1.8,50.0,20.0,5.0,13,1.112,0.3,1.0674687726242829,11059,0.1279976851851847,80,33,0.4125
1.8,50.0,20.0,6.0,9,1.112,0.3,0.7063767370582215,27326,0.3162731481481459,88,39,0.4431818181818182
1.8,50.0,20.0,8.0,5,1.112,0.3,0.7086559041364056,39889,0.4616782407407292,73,42,0.5753424657534246
1.8,50.0,20.0,10.0,1,1.112,0.3,0.6677747476926276,31752,0.367499999999998,84,52,0.6190476190476191
1.8,50.0,20.0,10.0,17,1.112,0.3,0.6670630016936582,29270,0.338773148148145,83,35,0.4216867469879518
1.8,50.0,20.0,0.0,13,1.39,0.3,0.972160646308102,17982,0.2081249999999969,82,86,1.048780487804878
1.8,50.0,20.0,1.0,9,1.39,0.3,1.0033173453391555,16013,0.1853356481481481,74,68,0.918918918918919
1.8,50.0,20.0,2.0,5,1.39,0.3,0.947530787002528,17039,0.1972106481481486,73,71,0.9726027397260274
1.8,50.0,20.0,3.0,1,1.39,0.3,0.6861839700801122,35121,0.406493055555556,85,64,0.7529411764705882
1.8,50.0,20.0,3.0,17,1.39,0.3,1.008974962074786,15430,0.1785879629629636,77,71,0.922077922077922
1.8,50.0,20.0,4.0,13,1.39,0.3,0.6374810701856375,36672,0.4244444444444494,77,63,0.8181818181818182
1.8,50.0,20.0,5.0,9,1.39,0.3,1.059324089364541,10828,0.1253240740740747,77,32,0.4155844155844156
1.8,50.0,20.0,6.0,5,1.39,0.3,1.0654040078562386,14601,0.1689930555555542,75,46,0.6133333333333333
1.8,50.0,20.0,8.0,1,1.39,0.3,0.8626818181611781,15889,0.1839004629629611,79,28,0.3544303797468354
1.8,50.0,20.0,8.0,17,1.39,0.3,0.4278461951446523,55045,0.6370949074074035,83,55,0.6626506024096386
1.8,50.0,20.0,10.0,13,1.39,0.3,0.726929917570752,27228,0.3151388888888896,80,31,0.3875
1.8,50.0,20.0,0.0,9,1.668,0.3,1.012344654294307,16195,0.1874421296296294,81,76,0.9382716049382716
1.8,50.0,20.0,1.0,5,1.668,0.3,0.9453269832338176,18923,0.2190162037037071,76,92,1.2105263157894737
1.8,50.0,20.0,2.0,1,1.668,0.3,0.9339972486404416,17667,0.2044791666666678,80,70,0.875
1.8,50.0,20.0,2.0,17,1.668,0.3,0.9945373311906484,18208,0.2107407407407453,86,84,0.9767441860465116
1.8,50.0,20.0,3.0,13,1.668,0.3,0.6905004468302897,27748,0.3211574074074057,75,62,0.8266666666666667
1.8,50.0,20.0,4.0,9,1.668,0.3,1.0656273384831472,10158,0.1175694444444447,72,16,0.2222222222222222
1.8,50.0,20.0,5.0,5,1.668,0.3,0.666624624855768,39809,0.460752314814808,70,29,0.4142857142857143
1.8,50.0,20.0,6.0,1,1.668,0.3,0.7384976758535557,29085,0.3366319444444458,80,51,0.6375
