W,qp,qr,pass_frac,mean_Rv,mean_speed,mean_density,mean_flow_ratio
2.1,30,4,0.0,0.809058437838796,0.8709273819643489,0.26990178571428464,0.5495373741540753
2.1,30,5,0.0,0.8139483346076463,0.8761912106221982,0.2834599867724867,0.44676277613120624
2.1,30,6,0.0,0.8258664816711178,0.8890207420063372,0.27964980158730085,0.3702963049675659
2.1,30,8,0.0,0.7815120312012324,0.8412744932565015,0.277315476190474,0.29160443552884313
2.1,30,10,0.0,0.6908448156529753,0.7436739282362842,0.2866154100529086,0.2621261607824316
2.1,40,1,0.36666666666666664,0.8824289205922272,0.9202589171448758,0.3803108465608499,0.8994335599112481
2.1,40,2,0.03333333333333333,0.7623311238347598,0.7950124912669275,0.43873908730158717,0.6594274238050538
2.1,40,3,0.0,0.7917795556207415,0.8257233862915313,0.3993968253968228,0.5040427768055864
2.1,40,4,0.0,0.7286099785779464,0.7598457102438243,0.43642361111110983,0.3917058662242367
2.1,40,5,0.0,0.6964215888265923,0.7262773944214709,0.4177086640211643,0.35164584357280976
2.1,40,6,0.0,0.6811450032803708,0.7103458970006907,0.4743244047619028,0.2729132818676639
2.1,40,8,0.0,0.5893083140297064,0.6145721409147421,0.5263015873015882,0.27333915296002215
2.1,40,10,0.0,0.5711860533996819,0.5956729734527204,0.5357857142857152,0.2507663180004887
2.1,50,1,0.2,0.8128194712642427,0.8309152021964256,0.5310863095238104,0.781342617382546
2.1,50,2,0.03333333333333333,0.6805902867552912,0.6957422105705823,0.6285694444444443,0.5124909843573066
2.1,50,3,0.0,0.5918271103676441,0.6050029071173539,0.7453736772486769,0.42702021980417315
2.1,50,4,0.0,0.5652054383430569,0.5777885590669667,0.6396815476190472,0.35269235058527965
2.1,50,5,0.0,0.5402963118723688,0.5523248828268591,0.7230390211640215,0.3129033724402926
2.1,50,6,0.0,0.5408491045002818,0.5528899822301504,0.7120198412698394,0.3274775176037554
2.1,50,8,0.0,0.45848445253995945,0.46869165301074533,0.8314768518518509,0.3118840241116591
2.1,50,10,0.0,0.487828891532049,0.498689384758643,0.7150360449735443,0.2938537251822283
2.4,10,1,0.8,1.000108573872704,1.1707096992221198,0.059137922310073615,1.004137638556756
2.4,10,2,0.8333333333333334,0.9940964901070616,1.163672058549049,0.06021744670090264,1.014906776849987
2.4,10,3,0.7333333333333333,0.9860023874780682,1.154197242812225,0.05947280092592586,0.9598810075229397
2.4,10,4,0.6333333333333333,0.9681238923805631,1.1332689874558135,0.06241030092592587,0.936114667152267
2.4,10,5,0.6333333333333333,0.9488207889090983,1.1106731103185694,0.06737181712962967,0.8904953037267664
2.4,10,6,0.43333333333333335,0.9248601811448267,1.0826252396756166,0.0709062500000001,0.811783886263817
2.4,10,8,0.16666666666666666,0.8828879481113823,1.0334932738131595,0.07549479166666663,0.7394057049850694
2.4,10,10,0.1,0.8541584182037559,0.9998629858668119,0.08128124999999978,0.5367429800923573
2.4,20,1,0.8333333333333334,0.9761450583225483,1.1282144963108558,0.1264103009259259,0.9826813283542882
2.4,20,2,0.6333333333333333,0.9407497782819596,1.0873051379093515,0.13393634259259246,0.9654813111128637
2.4,20,3,0.5333333333333333,0.9247550694078,1.068818682169762,0.13658015046296293,0.9289052395932261
2.4,20,4,0.43333333333333335,0.888477935944646,1.0268900901958733,0.14240480324074112,0.8582355001568033
