W,qp,vbar,drobot,dped,PRE,split
1.5,10,1.2981553979350964,0.5154882960766332,0.00826875026302778,62.34174206246689,0.3
1.5,20,1.2154678953048186,0.8474436698361186,0.011212061110569427,75.58321895313675,0.3
1.5,30,1.1033472841991243,0.9738205961468241,0.015111252947350773,64.44340515903741,0.3
1.5,40,0.9522347547256166,0.8829720221772033,0.019326979348095352,45.68598156360213,0.3
1.5,50,0.7589649612446631,0.7081192967550788,0.016465635505380206,43.005889236628505,0.3
1.5,60,0.594308606190861,0.5211415827866988,0.016465635505380206,31.650256233135604,0.3
1.8,10,1.306712516216884,0.008120608257163653,0.007915474039732962,1.0259155947453036,0.3
1.8,20,1.2275577758195544,0.007941783989216189,0.010175999487750786,0.7804426482898312,0.3
1.8,30,1.1257977809420465,0.006846880578568859,0.011517522555724824,0.5944751178425601,0.3
1.8,40,1.0106225553847983,0.04138021264382041,0.014588699147076334,2.836456645424295,0.3
1.8,50,0.8647355639140349,0.17674921588142767,0.022082948011127645,8.003877733732079,0.3
1.8,60,0.6439060838027585,0.16847904038383515,0.022082948011127645,7.629372686062486,0.3
2.1,10,1.319831664001097,0.005293138050487478,0.0052667355312981945,1.0050130710062017,0.3
2.1,20,1.267164308688115,0.006051406978105023,0.00576538774585047,1.0496097131472917,0.3
2.1,30,1.2095104312296103,0.007998126344528789,0.006075908292885535,1.3163671930160692,0.3
2.1,40,1.148751348300755,0.012725759252428581,0.007874736373872038,1.6160235274227062,0.3
2.1,50,1.0700039845620346,0.03399364483768208,0.020635469242864257,1.6473405299197197,0.3
2.1,60,0.863649292133392,0.12477228079492331,0.020635469242864257,6.046495930208592,0.3
2.4,10,1.3328480785099122,0.0035859213744497964,0.004293991214950976,0.8351021683426375,0.3
2.4,20,1.2899081663604024,0.005365981800572905,0.004909725231702499,1.092929145183995,0.3
2.4,30,1.2408109140433774,0.0069444502548976494,0.005024880750063287,1.3820129472346554,0.3
2.4,40,1.1905621065427445,0.008441277336195707,0.006932052375490461,1.2177169009918891,0.3
2.4,50,1.12124158278784,0.0164385576973598,0.01347389687010101,1.2200299479683168,0.3
2.4,60,0.9865026140868298,0.09330638962717142,0.01347389687010101,6.924974306002086,0.3
