cell_id,city,W,L,type,qp_last_pass,qp_first_fail,threshold_interval,n_tested_qp_levels,note
TYO-153756872-0,tokyo,1.2,50.0,A,,24.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-1323228545-3,tokyo,2.5,50.0,B,30.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-666208842-0,tokyo,1.2,50.0,B,,18.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-184298559-10,tokyo,2.5,50.0,B,,75.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-669243891-0,tokyo,1.2,50.0,C,,18.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-154999907-2,tokyo,1.5,50.0,C,,30.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-154125407-0,tokyo,1.5,50.0,C,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-103063342-0,tokyo,3.6,50.0,C,,108.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-1083468017-0,tokyo,1.5,50.0,D,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-1218085161-0,tokyo,1.5,50.0,D,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-1218085161-1,tokyo,1.5,50.0,D,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-389335193-1,tokyo,1.5,50.0,D,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
TYO-670992443-2,tokyo,2.5,50.0,D,,75.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
