cell_id,city,W,L,type,qp,x,qr_star,base_pass,base_pass_source
SIN-197634752-1,singapore,2.0,50.0,A,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-198571185-1,singapore,2.0,50.0,A,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-198571185-2,singapore,2.0,50.0,A,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-198571185-3,singapore,2.0,50.0,A,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-200167221-1,singapore,2.0,50.0,A,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-200171267-2,singapore,2.0,50.0,A,10,5.0,20.0,1.0,proxy(qr_star>0=>1)
SIN-200171268-0,singapore,2.0,50.0,A,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-200171268-4,singapore,2.0,50.0,A,10,5.0,15.0,1.0,proxy(qr_star>0=>1)
SIN-546209379-1,singapore,3.0,50.0,A,15,5.0,20.0,1.0,proxy(qr_star>0=>1)
SIN-546209379-2,singapore,3.0,50.0,A,15,5.0,20.0,1.0,proxy(qr_star>0=>1)
SIN-865245632-1,singapore,1.5,50.0,A,18,12.0,0.0,,proxy(qr_star=0=>unknown)
SIN-831704635-1,singapore,1.5,50.0,A,18,12.0,0.0,,proxy(qr_star=0=>unknown)
SIN-22928582-0,singapore,1.8,50.0,A,22,12.222,8.0,1.0,proxy(qr_star>0=>1)
SIN-22928582-1,singapore,1.8,50.0,A,22,12.222,15.0,1.0,proxy(qr_star>0=>1)
SIN-22928582-2,singapore,1.8,50.0,A,22,12.222,6.0,1.0,proxy(qr_star>0=>1)
SIN-74587409-1,singapore,1.8,50.0,A,22,12.222,8.0,1.0,proxy(qr_star>0=>1)
SIN-74587409-2,singapore,1.8,50.0,A,22,12.222,8.0,1.0,proxy(qr_star>0=>1)
SIN-170969415-0,singapore,1.8,50.0,A,22,12.222,15.0,1.0,proxy(qr_star>0=>1)
SIN-166571436-2,singapore,2.0,50.0,A,24,12.0,10.0,1.0,proxy(qr_star>0=>1)
SIN-166571436-3,singapore,2.0,50.0,A,24,12.0,8.0,1.0,proxy(qr_star>0=>1)
