cell_id,city,type,W,n_qp,qr_star_monotonic,potential_base_pass_reversal,direct_base_pass_monotonic,pattern
SIN-200167221-1,singapore,A,2.0,2,True,False,True,11
SIN-200171267-2,singapore,A,2.0,2,True,False,True,11
SIN-200171268-0,singapore,A,2.0,2,True,False,True,11
SIN-200171268-4,singapore,A,2.0,2,True,False,True,11
SIN-546209379-1,singapore,A,3.0,2,True,False,True,11
SIN-546209379-2,singapore,A,3.0,2,True,False,True,11
SIN-877712256-0,singapore,B,1.5,2,True,False,,??
SIN-139715353-1,singapore,B,1.8,2,True,False,True,11
SIN-200171267-0,singapore,B,2.0,2,True,False,True,11
SIN-602848280-0,singapore,B,1.2,2,True,False,,??
SIN-1105987650-1,singapore,B,2.5,2,True,False,,1?
SIN-546225147-8,singapore,C,1.5,2,True,False,,??
SIN-641077845-0,singapore,C,1.5,2,True,False,,??
SIN-1189801155-0,singapore,C,0.5,2,True,False,,??
SIN-131164229-0,singapore,C,2.0,2,True,False,True,11
SIN-190681368-0,singapore,C,2.0,2,True,False,True,11
SIN-546402626-0,singapore,C,1.5,2,True,False,,??
SIN-546209379-0,singapore,D,3.0,2,True,False,True,11
SIN-1464509030-0,singapore,D,3.0,2,True,False,True,11
SIN-22811726-0,singapore,D,1.8,2,True,False,,1?
SIN-22811727-0,singapore,D,1.8,2,True,False,True,11
SIN-22811728-0,singapore,D,1.8,2,True,False,True,11
TYO-39433615-0,tokyo,A,1.2,2,True,False,,??
TYO-39433615-1,tokyo,A,1.2,2,True,False,,??
TYO-285376873-0,tokyo,A,1.2,2,True,False,,??
TYO-1219088540-0,tokyo,A,1.2,2,True,False,,??
TYO-39433580-0,tokyo,A,1.2,2,True,False,,??
TYO-39433580-1,tokyo,A,1.2,2,True,False,,??
TYO-153756863-0,tokyo,A,1.2,2,True,False,,??
TYO-153756866-0,tokyo,A,1.2,2,True,False,,??
TYO-153756868-0,tokyo,A,1.2,2,True,False,,??
TYO-153756871-0,tokyo,A,1.2,2,True,False,,??
TYO-153756872-0,tokyo,A,1.2,2,True,False,,??
TYO-1323228545-3,tokyo,B,2.5,2,True,False,True,11
TYO-666208842-0,tokyo,B,1.2,2,True,False,,??
TYO-184298559-10,tokyo,B,2.5,2,True,False,,??
TYO-669243891-0,tokyo,C,1.2,2,True,False,,??
TYO-154999907-2,tokyo,C,1.5,2,True,False,,??
TYO-154125407-0,tokyo,C,1.5,2,True,False,,??
TYO-103063342-0,tokyo,C,3.6,2,True,False,,??
TYO-1083468017-0,tokyo,D,1.5,2,True,False,,??
TYO-1218085161-0,tokyo,D,1.5,2,True,False,,??
TYO-1218085161-1,tokyo,D,1.5,2,True,False,,??
TYO-389335193-1,tokyo,D,1.5,2,True,False,,??
TYO-670992443-2,tokyo,D,2.5,2,True,False,,??
