W,qp,qr,pass_frac,mean_Rv,mean_speed,mean_density,mean_flow_ratio
1.8,10,3,1.0,0.9799911207333102,1.283802611231689,0.07303395061728343,1.0058333333333334
1.8,10,4,1.0,0.9727336113424436,1.2742951684499002,0.07359683641975255,1.0058333333333331
1.8,10,5,1.0,0.9686892806365515,1.2689970364453738,0.07401736111111064,1.0108333333333333
1.8,10,6,0.9666666666666667,0.9605077937699507,1.2582791697413975,0.07451736111111074,1.0066666666666666
1.8,10,8,0.9666666666666667,0.9455546887578062,1.2386903848488895,0.07559104938271562,1.0050000000000001
1.8,10,10,0.9,0.9321830011520692,1.2211732797429022,0.0769749228395059,1.0025000000000002
1.8,10,12,0.7666666666666667,0.916156271994253,1.2001780316156423,0.07811342592592588,1.0016666666666665
1.8,10,15,0.3,0.8901019599307222,1.166046504142233,0.08045756172839526,1.0033333333333332
1.8,10,18,0.1,0.8540411188634185,1.1188062782402128,0.08372299382716057,1.0058333333333331
1.8,10,20,0.0,0.8231332203204649,1.0783164819373277,0.08707368827160553,1.0075
1.8,20,1,1.0,0.9895308628864399,1.2382243910225916,0.15204861111111415,1.0054166666666666
1.8,20,2,1.0,0.9749686946447635,1.2200023904975938,0.15438233024691692,1.0041666666666669
1.8,20,3,1.0,0.9662195056894455,1.2090543144218873,0.15583063271605282,1.005
1.8,20,4,0.9666666666666667,0.9378706575215678,1.1735807010406232,0.16327199074074425,1.0102651515151515
1.8,20,5,1.0,0.9496111614937196,1.1882718834245771,0.1588190586419791,1.0025
1.8,20,6,0.8666666666666667,0.9329982458854125,1.1674837321058784,0.16156983024691787,1.0016666666666667
1.8,20,8,0.7333333333333333,0.8853524454932681,1.1078633661445214,0.18633101851852243,1.1087500000000001
1.8,20,10,0.26666666666666666,0.8548541965061972,1.0697001544695308,0.18968981481481972,1.138891242937853
1.8,30,1,1.0,0.9929966387218084,1.1501456313924987,0.24604745370370426,0.9958333333333332
1.8,30,2,1.0,0.9748398004465684,1.1291153404450407,0.25111381172839503,0.9969444444444446
1.8,30,3,0.9666666666666667,0.9542461424815949,1.1052625852400544,0.25736882716049303,0.9975
1.8,30,4,0.9333333333333333,0.937007925419357,1.0852962940422821,0.2619629629629624,0.9938888888888889
1.8,30,5,0.7666666666666667,0.875596503281222,1.0141660644569186,0.29581095679012254,1.0328082318198597
1.8,30,6,0.4666666666666667,0.8740197167565972,1.0123397399133933,0.2809606481481471,1.0276731859137103
1.8,30,8,0.1,0.760594000689631,0.8809635733335034,0.3694826388888891,1.3828200733200733
1.8,30,10,0.0,0.7534253166658618,0.8726603925459184,0.35708449074074006,1.0357791106901915
1.8,40,1,1.0,0.9885934930840539,1.0603331669437173,0.3558051697530868,0.9995833333333334
1.8,40,2,0.8333333333333334,0.9253743883515346,0.9925264152289563,0.37630787037036995,1.4621496780115601
1.8,40,3,0.5,0.6990970841497227,0.7498287520840154,0.586111882716049,1.5817609225201168
1.8,40,4,0.23333333333333334,0.7046377714434928,0.755771512729668,0.5650902777777783,1.4239166391471583
1.8,40,5,0.1,0.5102287033941686,0.5472546812418949,0.7996400462962956,4.005130193557122
1.8,40,6,0.0,0.5315954967130695,0.570172007509726,0.7816871141975315,1.436173232940879
1.8,40,8,0.0,0.5076512112997786,0.5444901472101252,0.7577962962962954,2.1229573161216226
1.8,40,10,0.0,0.5085645434922965,0.5454697575585031,0.7193719135802489,2.263048229407926
1.8,50,1,0.6666666666666666,0.8081654710473083,0.7785759631390687,0.6684486882716036,1.1156008849446868
1.8,50,2,0.26666666666666666,0.5117620859055454,0.4930248485073482,1.00697685185185,2.8547975136824473
1.8,50,3,0.06666666666666667,0.48259775098288604,0.46492831263048845,0.9741033950617292,1.690776457849087
1.8,50,4,0.0,0.32083225791282705,0.30908556868539994,1.284516203703717,2.742314128965602
1.8,50,5,0.0,0.2697005110337794,0.2598259176615229,1.3379837962962964,3.1431753405471494
1.8,50,6,0.0,0.1814757710729322,0.1748313659904462,1.4887908950617263,4.5277211528135535
1.8,50,8,0.0,0.24783778434948064,0.23876365492587867,1.3095408950617293,2.7289109010881663
1.8,50,10,0.0,0.29586417006062066,0.28503164192943425,1.0173657407407406,4.033468997909156
1.8,60,1,0.23333333333333334,0.5782173120849625,0.4655411890861295,1.0891087962962966,3.052597509064103
1.8,60,2,0.0,0.3775801340899751,0.30400180161627277,1.3475015432098725,2.704296729517183
1.8,60,3,0.03333333333333333,0.4286923744301968,0.3451538955565982,1.1644286265432062,3.034266395212042
1.8,60,4,0.0,0.22128078360085868,0.17816021237412782,1.5029012345678971,2.82881306152963
1.8,60,5,0.0,0.20787959703302472,0.16737048989512018,1.5175713734567922,2.1543723253076945
1.8,60,6,0.03333333333333333,0.28984175710988436,0.2333608375805977,1.4150887345679002,3.032311248250988
1.8,60,8,0.03333333333333333,0.34089275938463226,0.2744636268023992,1.1499166666666656,3.8305392623398054
1.8,60,10,0.0,0.35117367871011196,0.2827411226636423,1.0274606481481487,3.1912440796110206
2.1,10,1,1.0,0.9969279327509111,1.310652664574395,0.06116468253968365,1.01
2.1,10,2,1.0,0.9943004406142857,1.3071983230348678,0.06129497354497466,1.0074999999999998
2.1,10,3,1.0,0.9924656642970455,1.3047861582332927,0.061398478835979965,1.0083333333333335
2.1,10,4,1.0,0.9886369888114249,1.299752631172643,0.06158664021164128,1.0058333333333331
2.1,10,5,1.0,0.9820099589540824,1.2910401314468376,0.06208068783068884,1.0050000000000001
2.1,10,6,1.0,0.980694036382471,1.2893100992467197,0.06207076719576825,1.0066666666666666
2.1,10,8,1.0,0.9731429088821097,1.2793826962181176,0.06250992063492168,1.0074999999999998
2.1,10,10,1.0,0.9596858991072236,1.2616908800504336,0.06353406084656192,1.0041666666666667
2.1,10,12,0.9,0.9454739724144995,1.2430065810388131,0.0643452380952391,1.005
2.1,10,15,0.8333333333333334,0.9282090604082315,1.2203085482309477,0.0655869708994719,1.0041666666666667
2.1,10,18,0.6,0.8998463741478739,1.183020366106239,0.06761574074074186,0.9983333333333334
2.1,10,20,0.26666666666666666,0.876818812044659,1.1527462262835644,0.06953207671957791,1.0100000000000002
2.1,20,1,1.0,0.9938207923260155,1.2666220940509034,0.1265221560846558,1.0025
2.1,20,2,1.0,0.9870545297832715,1.2579985095002824,0.12742757936507892,1.0025000000000002
2.1,20,3,1.0,0.9822685824775453,1.2518988317261757,0.12797387566137514,1.0029166666666667
2.1,20,4,1.0,0.9747861132516533,1.242362443563689,0.12893088624338603,1.0054166666666666
2.1,20,5,1.0,0.968412247058998,1.234238967171888,0.12972089947089915,0.9987499999999999
2.1,20,6,1.0,0.9598438485683408,1.2233185648994647,0.13095370370370327,1.0016666666666667
2.1,20,8,1.0,0.9460851675694022,1.2057831606567475,0.13269543650793603,1.0033333333333332
2.1,20,10,0.9666666666666667,0.928808114617752,1.1837636002313416,0.1351359126984126,1.00375
2.1,20,12,0.6666666666666666,0.9067015575039359,1.1555888489281185,0.13852546296296336,0.9991666666666668
