tag,mean_qr_star,seedwise_qr_star,delta
TYO-153756872-0|qp42,0.0,0.0,0.0
TYO-154125407-0|qp45,0.0,0.0,0.0
TYO-154999907-2|qp30,0.0,0.0,0.0
TYO-154999907-2|qp52,0.0,0.0,0.0
TYO-285376873-0|qp14,0.0,0.0,0.0
TYO-285376873-0|qp6,0.0,0.0,0.0
TYO-389335193-1|qp45,0.0,0.0,0.0
TYO-39433580-0|qp24,0.0,0.0,0.0
TYO-39433580-0|qp42,0.0,0.0,0.0
TYO-39433580-1|qp24,0.0,0.0,0.0
TYO-39433580-1|qp42,0.0,0.0,0.0
TYO-39433615-0|qp14,0.0,0.0,0.0
TYO-39433615-0|qp6,0.0,0.0,0.0
TYO-39433615-1|qp14,0.0,0.0,0.0
TYO-39433615-1|qp6,0.0,0.0,0.0
TYO-666208842-0|qp18,0.0,0.0,0.0
TYO-666208842-0|qp30,0.0,0.0,0.0
TYO-670992443-2|qp75,0.0,0.0,0.0
