cell_id,city,city_code,type,context,W,sinuosity,qp,vbar,base_pass,dens_base,fr_base,qr_star,above_upper
TYO-1219088540-0,tokyo,TYO,A,commercial,1.2,1.0,30,1.052,True,0.386,0.998,0.0,False
TYO-39433580-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,42,0.933,True,0.633,0.988,0.0,False
TYO-39433580-1,tokyo,TYO,A,tourism/mixed,1.2,1.0,42,0.934,True,0.635,0.992,0.0,False
TYO-153756863-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,42,0.0,True,0.006,0.999,0.0,False
TYO-153756866-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,42,0.635,True,0.008,0.997,0.0,False
TYO-153756868-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,42,0.115,True,0.006,0.998,0.0,False
TYO-153756871-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,42,0.913,True,0.011,1.001,0.0,False
TYO-153756872-0,tokyo,TYO,A,tourism/mixed,1.2,1.0,42,0.932,True,0.013,1.002,0.0,False
TYO-1323228545-3,tokyo,TYO,B,residential,2.5,1.0499,12,1.331,True,0.06,0.999,18.0,False
TYO-666208842-0,tokyo,TYO,B,commercial,1.2,1.0974,18,0.979,True,0.005,1.006,0.0,False
TYO-666208842-0,tokyo,TYO,B,commercial,1.2,1.0974,30,0.957,True,0.008,1.016,0.0,False
TYO-1323228545-3,tokyo,TYO,B,residential,2.5,1.0499,30,1.26,True,0.159,0.999,10.0,False
TYO-184298559-10,tokyo,TYO,B,MRT-frontage,2.5,1.0504,75,0.357,False,1.028,1.952,0.0,False
TYO-184298559-10,tokyo,TYO,B,MRT-frontage,2.5,1.0504,112,0.064,False,2.674,1.0,0.0,False
TYO-669243891-0,tokyo,TYO,C,commercial,1.2,1.3385,18,0.025,False,1.509,1.0,0.0,False
TYO-669243891-0,tokyo,TYO,C,commercial,1.2,1.3385,30,0.015,False,2.286,1.0,0.0,False
TYO-154999907-2,tokyo,TYO,C,tourism/mixed,1.5,1.0024,30,1.215,True,0.131,1.0,0.0,False
TYO-154125407-0,tokyo,TYO,C,MRT-frontage,1.5,1.0666,45,0.961,True,0.536,1.014,0.0,False
TYO-154999907-2,tokyo,TYO,C,tourism/mixed,1.5,1.0024,52,0.998,True,0.305,1.03,0.0,False
TYO-154125407-0,tokyo,TYO,C,MRT-frontage,1.5,1.0666,68,0.168,False,1.959,2.073,0.0,False
TYO-103063342-0,tokyo,TYO,C,MRT-frontage,3.6,1.0,108,0.88,True,0.568,0.978,0.0,False
TYO-103063342-0,tokyo,TYO,C,MRT-frontage,3.6,1.0,162,0.237,False,1.813,21.85,0.0,False
TYO-1083468017-0,tokyo,TYO,D,MRT-frontage,1.5,1.0,45,1.019,True,0.304,0.997,0.0,False
TYO-1218085161-0,tokyo,TYO,D,MRT-frontage,1.5,1.0003,45,1.024,True,0.496,0.998,0.0,False
TYO-1218085161-1,tokyo,TYO,D,MRT-frontage,1.5,1.0,45,1.034,True,0.474,0.999,0.0,False
TYO-389335193-1,tokyo,TYO,D,MRT-frontage,1.5,1.0,45,1.038,True,0.374,1.006,0.0,False
TYO-1083468017-0,tokyo,TYO,D,MRT-frontage,1.5,1.0,68,0.027,False,4.221,2.8,0.0,False
TYO-1218085161-0,tokyo,TYO,D,MRT-frontage,1.5,1.0003,68,0.298,False,1.382,3.428,0.0,False
TYO-1218085161-1,tokyo,TYO,D,MRT-frontage,1.5,1.0,68,0.045,False,4.801,2.779,0.0,False
TYO-389335193-1,tokyo,TYO,D,MRT-frontage,1.5,1.0,68,0.037,False,4.411,3.708,0.0,False
TYO-670992443-2,tokyo,TYO,D,MRT-frontage,2.5,1.0,75,1.023,True,0.104,1.0,0.0,False
TYO-670992443-2,tokyo,TYO,D,MRT-frontage,2.5,1.0,112,0.026,False,2.165,3.803,0.0,False
